,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
10,31,Linear,0.08186583381979368,320,320,1.0,2.323722654757031,2.961323609510973,0.878607449370858,True,18.809952,dense,3.932337090006882,2.7879715,1.2743877,esm.encoder.layer.1.attention.self.value,320,7.5618773,613.72156,320,81,0.7220836526399973,7.79073478076521,0.0,0.1467073142781826,1.03026464881897,0,1.0077358931290286,0,1,0.14708029497300343,18.809952,32.62749,success,4.3370442390441895,0.002755605848506093,,0,11.150961,0.40717763,18.809951782226562,2.224623918533325
11,35,Linear,0.056577311645871764,320,320,1.0,5.211066628163524,5.424146408868468,0.9376610383146851,True,10.98727,dense,5.823145294213116,2.744154,1.0408899,esm.encoder.layer.1.attention.output.dense,320,6.9917574,554.82245,320,27,0.7594506821432224,7.038264013986877,0.0,0.044392372755214814,1.006651649475097,0,1.0074009538458701,0,1,0.8104201504485533,10.98727,50.49684,success,3.3147051334381104,0.00100122787989676,,0,4.21429,0.61643887,10.98727035522461,4.400590896606445
12,39,Linear,0.06417453711052201,320,1280,4.0,3.9382764157902748,9.893945982741672,0.940233484448423,True,325.2765,dense,9.89540059334198,3.5732982,2.5122528,esm.encoder.layer.1.intermediate.dense,320,26.198034,3743.6758,320,56,0.2923642373724283,26.418517726010656,2.9353908584456283,0.16620105037127772,1.0084160709381111,0,1.0018142665317198,0,1,0.39264370198304793,325.2765,11.509212,success,18.035423278808594,0.3967025876045227,,0,299.198,0.08017326,325.2764892578125,18.194931030273438
13,41,Linear,0.06018025542256661,320,1280,4.0,5.0316239111370225,8.450488715019393,0.9588162024367828,True,47.80522,dense,8.835541831632328,3.3750534,1.6794754,esm.encoder.layer.1.output.dense,320,16.557407,2371.665,320,20,0.3673213664446287,16.755229225719543,1.86169213619106,0.12230827026577822,1.0119475839624408,0,1.002374752018944,0,1,0.9014985125015953,47.80522,49.611004,success,6.914132118225098,0.3196447491645813,,0,31.311325,0.34502292,47.80522155761719,19.610498428344727
14,47,Linear,0.049653859470487505,320,320,1.0,3.975805660826652,7.794694025029381,0.8829646286909902,True,91.31285,dense,7.831489374959461,3.163223,1.960532,esm.encoder.layer.2.attention.self.query,320,18.58735,1456.2059,320,18,0.4687714042835667,18.48946193732477,0.0,0.13654889727525746,0.9947335147857667,0,1.0078438546613624,0,1,0.7014041207546137,91.31285,15.947437,success,9.55577564239502,0.0004981360980309546,,1,73.474686,0.19535221,91.31285095214844,16.27358627319336
15,48,Linear,0.05785870844951635,320,320,1.0,4.586189049675125,8.474033811563865,0.8951395841530253,True,70.425316,dense,8.483593366030112,3.0680099,1.8477288,esm.encoder.layer.2.attention.self.key,320,14.418954,1169.5254,320,24,0.5230815050905898,14.838335353780463,0.0,0.11249514890516592,1.0290854227304465,0,1.00746962259633,0,1,0.7320277744050478,70.425316,16.606606,success,8.391979217529297,0.0035782866179943085,,0,55.74138,0.20850368,70.4253158569336,11.171111106872559
16,49,Linear,0.09642582656353693,320,320,1.0,6.042169431729767,6.631478827393714,0.9093375954404714,True,12.517934,dense,7.154476940998058,2.7904532,1.0975327,esm.encoder.layer.2.attention.self.value,320,7.5980844,617.2386,320,18,0.7200262608416048,7.829573922186537,0.0,0.06550529012219734,1.0304668696632389,0,1.007366269882744,0,1,1.1884507323558797,12.517934,49.308342,success,3.538069248199463,0.000675477902404964,under-trained,1,4.888233,0.6095016,12.51793384552002,6.891598701477051
17,53,Linear,0.06065508562942046,320,320,1.0,7.177387624724368,7.573893292681974,0.9217372338483434,True,11.356478,dense,7.80368544028912,2.7533233,1.0552437,esm.encoder.layer.2.attention.output.dense,320,6.94373,566.6608,320,14,0.7514753968587246,7.193248199446306,0.0,0.035858151050323986,1.035934333511352,0,1.0077372070780535,0,1,1.650976288358276,11.356478,49.897587,success,3.3699374198913574,0.0009375411318615079,under-trained,1,4.452293,0.6079512,11.356477737426758,6.183187484741211
18,57,Linear,0.09040857161701232,320,1280,4.0,4.40251155409911,11.968803467432352,0.919149825384511,True,523.1555,dense,11.969001423257662,3.6856723,2.7186308,esm.encoder.layer.2.intermediate.dense,320,33.953346,4849.225,320,48,0.25688313671663277,34.30572571790576,3.8117473019895285,0.19966992544166784,1.0103783512115487,0,1.003061686253508,0,1,0.4911102404199833,523.1555,9.269185,success,22.87259292602539,0.5599021315574646,,0,489.3074,0.06469992,523.155517578125,27.423282623291016
19,59,Linear,0.048553671289445655,320,1280,4.0,4.889726625731274,10.090793412403295,0.9629794501193384,True,115.790306,dense,10.139142365171793,3.5504668,2.0636723,esm.encoder.layer.2.output.dense,320,24.917313,3551.9492,320,31,0.3001504684859901,25.16612975941491,2.7962366399349903,0.11422132251728308,1.0099857425689707,0,1.0038203189800357,0,1,0.6986155254160537,115.790306,30.675705,success,10.760590553283691,0.35451802611351013,,0,90.80842,0.21575111,115.7903060913086,23.347393035888672
20,65,Linear,0.05660625444349318,320,320,1.0,4.198219892504772,6.324021235175605,0.9003863194629116,True,32.089108,dense,6.733304912306909,3.0297546,1.5063578,esm.encoder.layer.3.attention.self.query,320,13.123584,1070.9138,320,29,0.5466352479834032,13.581868773568146,0.0,0.09157886895048582,1.0349207487831118,0,1.0072734844016495,0,1,0.5938945245032482,32.089108,33.373127,success,5.664724826812744,0.0010782754980027676,,0,18.98209,0.4084569,32.089107513427734,9.675397872924805
